Ano,Região,Empresas_Ativas
2007,Centro-Oeste,3384
2008,Centro-Oeste,4018
2009,Centro-Oeste,4802
2010,Centro-Oeste,6199
2011,Centro-Oeste,7684
2012,Centro-Oeste,8360
2013,Centro-Oeste,10135
2014,Centro-Oeste,10442
2015,Centro-Oeste,11141
2016,Centro-Oeste,10103
2017,Centro-Oeste,9817
2018,Centro-Oeste,9788
2019,Centro-Oeste,9175
2020,Centro-Oeste,10713
2021,Centro-Oeste,9051
2022,Centro-Oeste,8296
2007,Nordeste,7753
2008,Nordeste,8308
2009,Nordeste,8966
2010,Nordeste,10582
2011,Nordeste,13032
2012,Nordeste,14801
2013,Nordeste,17330
2014,Nordeste,17815
2015,Nordeste,17668
2016,Nordeste,17484
2017,Nordeste,16780
2018,Nordeste,16783
2019,Nordeste,16077
2020,Nordeste,16288
2021,Nordeste,14918
2022,Nordeste,13679
2007,Norte,2209
2008,Norte,2272
2009,Norte,2574
2010,Norte,3129
2011,Norte,3489
2012,Norte,3753
2013,Norte,4503
2014,Norte,4488
2015,Norte,4467
2016,Norte,3837
2017,Norte,3735
2018,Norte,3827
2019,Norte,3297
2020,Norte,3316
2021,Norte,2691
2022,Norte,2172
2007,Sudeste,26030
2008,Sudeste,27738
2009,Sudeste,31842
2010,Sudeste,37906
2011,Sudeste,45831
2012,Sudeste,49284
2013,Sudeste,52687
2014,Sudeste,61335
2015,Sudeste,63355
2016,Sudeste,61591
2017,Sudeste,63913
2018,Sudeste,61266
2019,Sudeste,62272
2020,Sudeste,64975
2021,Sudeste,62682
2022,Sudeste,61039
2007,Sul,12215
2008,Sul,14542
2009,Sul,15440
2010,Sul,19693
2011,Sul,23339
2012,Sul,28336
2013,Sul,32065
2014,Sul,33853
2015,Sul,34687
2016,Sul,33928
2017,Sul,32038
2018,Sul,32950
2019,Sul,34245
2020,Sul,36698
2021,Sul,33682
2022,Sul,32434
